timestamp,event_type,ear,mar,head_tilt_degrees,attention_score,details
2026-05-01 13:12:14,DROWSY,0.2127,0.2222,-7.13,51,Consecutive frame threshold reached
2026-05-01 13:12:34,HEAD TILT,0.2263,0.1768,-16.84,59,Consecutive frame threshold reached
2026-05-01 13:12:39,HEAD TILT,0.3234,0.1728,-37.52,70,Consecutive frame threshold reached
2026-05-01 13:12:40,DROWSY,0.2159,0.1901,-1.37,52,Consecutive frame threshold reached
2026-05-01 13:12:43,DROWSY,0.2332,0.1826,3.21,53,Consecutive frame threshold reached
2026-05-01 13:12:46,DROWSY,0.2391,0.2074,1.75,54,Consecutive frame threshold reached
2026-05-01 13:12:50,DROWSY,0.2316,0.2062,2.24,53,Consecutive frame threshold reached
2026-05-01 13:12:53,DROWSY,0.2420,0.1594,-13.10,54,Consecutive frame threshold reached
2026-05-01 13:13:01,DROWSY,0.0639,0.1771,-16.61,38,Consecutive frame threshold reached
2026-05-01 13:13:02,HEAD TILT,0.0748,0.1617,-23.00,16,Consecutive frame threshold reached
2026-05-01 13:13:05,HEAD TILT,0.2818,0.2090,20.29,77,Consecutive frame threshold reached
2026-05-01 13:13:08,HEAD TILT,0.2729,0.1838,19.71,78,Consecutive frame threshold reached
2026-05-01 13:13:10,DROWSY,0.1723,0.1846,-11.00,47,Consecutive frame threshold reached
2026-05-01 13:13:17,DROWSY,0.2390,0.2307,1.79,54,Consecutive frame threshold reached
2026-05-01 13:13:19,HEAD TILT,0.0978,0.1903,-32.93,11,Consecutive frame threshold reached
2026-05-01 13:13:20,DROWSY,0.0574,0.1903,-24.02,15,Consecutive frame threshold reached
2026-05-01 13:13:25,DROWSY,0.1964,0.2141,-3.62,50,Consecutive frame threshold reached
2026-05-01 13:13:27,HEAD TILT,0.1353,0.2521,18.14,33,Consecutive frame threshold reached
2026-05-01 13:13:28,DROWSY,0.1718,0.2649,18.60,25,Consecutive frame threshold reached
2026-05-01 13:13:31,DROWSY,0.2258,0.1990,-5.19,53,Consecutive frame threshold reached
2026-05-01 13:13:34,HEAD TILT,0.2468,0.1755,-20.39,70,Consecutive frame threshold reached
2026-05-01 13:13:37,HEAD TILT,0.2594,0.1953,-17.73,79,Consecutive frame threshold reached
2026-05-01 13:13:39,DROWSY,0.2380,0.1825,-17.20,33,Consecutive frame threshold reached
2026-05-01 13:13:40,HEAD TILT,0.2287,0.1833,-16.98,32,Consecutive frame threshold reached
2026-05-01 13:13:42,DROWSY,0.1943,0.1728,-7.07,49,Consecutive frame threshold reached
2026-05-01 13:13:45,DROWSY,0.2000,0.1887,-10.08,50,Consecutive frame threshold reached
2026-05-01 13:14:28,DROWSY,0.2215,0.2116,-3.96,52,Consecutive frame threshold reached
2026-05-01 13:14:31,DROWSY,0.2365,0.2009,-3.93,54,Consecutive frame threshold reached
2026-05-01 13:14:37,HEAD TILT,0.3317,0.1866,21.01,77,Consecutive frame threshold reached
2026-05-01 13:14:41,DROWSY,0.1851,0.2105,-6.24,49,Consecutive frame threshold reached
2026-05-01 13:14:49,DROWSY,0.2140,0.2158,-7.62,51,Consecutive frame threshold reached
2026-05-01 13:14:50,HEAD TILT,0.2649,0.1712,-21.50,77,Consecutive frame threshold reached
2026-05-01 13:14:52,DROWSY,0.1688,0.2273,-0.85,47,Consecutive frame threshold reached
2026-05-01 13:14:55,DROWSY,0.1994,0.1817,0.43,50,Consecutive frame threshold reached
2026-05-01 13:15:01,DROWSY,0.0817,0.1876,-12.25,40,Consecutive frame threshold reached
2026-05-01 13:15:01,HEAD TILT,0.1891,0.1784,-22.58,25,Consecutive frame threshold reached
2026-05-01 13:15:04,DROWSY,0.2198,0.1832,-7.59,52,Consecutive frame threshold reached
2026-05-01 13:15:07,DROWSY,0.1980,0.1994,-14.72,50,Consecutive frame threshold reached
2026-05-01 13:15:10,DROWSY,0.2341,0.2051,-5.67,53,Consecutive frame threshold reached
2026-05-01 13:15:13,DROWSY,0.2114,0.1987,-4.33,51,Consecutive frame threshold reached
2026-05-01 13:15:16,DROWSY,0.2359,0.1786,-7.18,54,Consecutive frame threshold reached
2026-05-01 13:15:23,DROWSY,0.2276,0.1774,2.27,53,Consecutive frame threshold reached
2026-05-01 13:15:40,DROWSY,0.2289,0.1755,2.68,53,Consecutive frame threshold reached
2026-05-01 13:15:45,DROWSY,0.1226,0.1965,4.76,42,Consecutive frame threshold reached
2026-05-01 13:15:48,DROWSY,0.2161,0.2207,0.00,52,Consecutive frame threshold reached
